,mean,median,5perc,95perc
Tot,2.581078701269075,2.55729125,1.7200559,3.5209730250000004
VAL,2.635037952859214,2.6109157499999998,1.76712565,3.5813586000000006
CONTRAILS,0.0740322797013163,0.057035175,0.01992836875,0.18536007
LANDUSE,-0.14898002996964038,-0.14889711,-0.26294989,-0.03537409999999997
LLGHG,2.9835594031447554,2.9813074999999998,2.3911343499999997,3.5844006
O3,0.35575353052959313,0.3562011,0.12447692275000001,0.5868198149999999
SNOWALBEDO,0.04767382894376275,0.040844284999999994,0.01613746375,0.102446075
STRATH2O,0.07372240144896655,0.07378589499999999,0.017064514000000003,0.13027846
SUN,0.04703611004146023,0.047136529999999996,-0.0100305335,0.103723125
VOLC_annual,-0.05395925346547349,-0.053536635,-0.07304588374999998,-0.036184419249999995
aero,-0.7977595716152193,-0.781611475,-1.6381471499999998,-0.0030260949999996655
antro,2.588001844486185,2.56447725,1.72072275,3.5329169250000008
