,mean,median,5perc,95perc
Tot,2.740535321160518,2.719041,2.073427675,3.4771013750000006
VAL,2.6133799980710766,2.5914465,1.954670825,3.3407989999999996
CONTRAILS,0.05904946247311804,0.0586714,0.015667709000000002,0.10291758499999999
LANDUSE,-0.20077400847526392,-0.20035225,-0.31167506500000003,-0.09086093049999998
AEROSOLRI,-0.22800940495848723,-0.226388625,-0.5003986425000001,0.040995180750000075
AEROSOLCI,-0.8845230365379593,-0.8913840749999999,-1.418644485,-0.3282872074999999
LLGHG,3.2888016830723505,3.28996915,2.95454708,3.6206736050000004
CO2,2.140066574342088,2.1405835,1.8467440499999999,2.43154705
CH4,0.5370461107447386,0.5372112,0.41646050500000004,0.65715504
N2O,0.20817853099473715,0.20810245,0.17095616,0.24513835
OtherWMGHG,0.4035104669907967,0.40348685,0.316747755,0.49026961500000005
O3,0.4656243415934305,0.4662926,0.2008764475,0.72698687
SNOWALBEDO,0.08860121641351078,0.08345955,-0.0061941329999999975,0.1946578275
STRATH2O,0.048636231949341725,0.04871937,-0.006962774999999999,0.10409703500000002
SUN,-0.024026486237707423,-0.0238250089,-0.10275302299999999,0.054625439590000005
VOLC_annual,0.12715532282421124,0.12673175,0.094955157,0.160249505
aero,-1.1125324410813637,-1.1249997,-1.658696925,-0.5205415399999999
antro,2.6374064841874794,2.615341,1.9822426999999998,3.3636472750000004
